target_contrast_gene_name,Rest,Stim8hr,Stim48hr
ZMYM4,,-7.217451570647928,-7.095110152196487
ZMYM5,-9.295565925514635,-8.868417490448092,-10.333290617689457
ZMYM6,-7.238036463346917,-6.714497597063142,-6.687436636128874
ZMYND11,-13.601603382723344,-14.828786041234856,-9.00760173898568
ZMYND19,-4.702090071087601,-9.183602336631644,-4.2978046996759725
ZMYND8,-16.277592064229744,-14.43937348243782,-18.16754928161754
ZNF10,-3.906411029744488,-3.989782058788779,-3.731108230223501
ZNF100,-6.046025080551588,-6.383550359064395,-10.224539540577103
ZNF101,-6.111743772615843,-2.411522966491137,-3.900606083096232
ZNF106,-7.621882279659873,-7.815142605800846,-7.690736855402682
