target_contrast_gene_name,max_de,mean_de,conditions_with_gt10,max_cells,any_offtarget,ontarget_sig_conditions,target_class
GPR171,6,3.0,0,827.0,False,3,gpcr
MAGT1,6,3.0,0,449.0,True,3,transporter
SLC39A8,6,3.0,0,735.0,False,3,transporter
VRK1,6,3.0,0,235.0,False,3,kinase
CSF2RB,6,2.6666666666666665,0,495.0,False,1,cytokine_receptor
IL36A,6,2.6666666666666665,0,885.0,False,0,cytokine
SPNS3,6,2.6666666666666665,0,485.0,False,1,transporter
ULK1,6,2.6666666666666665,0,1189.0,False,3,kinase
ADRB2,6,2.3333333333333335,0,826.0,False,1,gpcr
CDK7,6,2.3333333333333335,0,93.0,False,0,kinase
GPR135,6,2.0,0,249.0,False,0,gpcr
SLC17A3,6,2.0,0,505.0,False,0,transporter
TRIO,6,2.0,0,376.0,False,0,kinase
SLC25A11,5,4.333333333333333,0,1432.0,True,3,transporter
ATP8B3,5,4.0,0,850.0,False,2,transporter
CDK4,5,4.0,0,574.0,True,3,kinase
COQ8B,5,4.0,0,897.0,True,3,kinase
GSK3A,5,4.0,0,1101.0,False,3,kinase
SLC38A9,5,4.0,0,618.0,False,3,transporter
SLC51A,5,4.0,0,676.0,False,0,transporter
VIPR1,5,4.0,0,428.0,False,1,gpcr
ATP6V0A1,5,3.6666666666666665,0,748.0,False,3,transporter
CLIC5,5,3.6666666666666665,0,2405.0,False,3,ion_channel
IL23A,5,3.6666666666666665,0,1047.0,False,3,cytokine
LPAR3,5,3.6666666666666665,0,737.0,False,1,gpcr
MAST4,5,3.6666666666666665,0,969.0,False,0,kinase
NTRK1,5,3.6666666666666665,0,245.0,False,0,kinase
SLC35D1,5,3.6666666666666665,0,641.0,False,3,transporter
CDK8,5,3.3333333333333335,0,677.0,False,3,kinase
S1PR1,5,3.3333333333333335,0,695.0,False,3,gpcr
SLC35F2,5,3.3333333333333335,0,647.0,False,3,transporter
TGFB3,5,3.3333333333333335,0,622.0,False,0,cytokine
TNFRSF10A,5,3.3333333333333335,0,845.0,False,3,cytokine_receptor
XCL2,5,3.3333333333333335,0,744.0,False,0,cytokine
ABCB1,5,3.0,0,963.0,False,0,transporter
CACNA1E,5,3.0,0,647.0,False,0,ion_channel
LPAR6,5,3.0,0,2303.0,False,3,gpcr
SLC12A2,5,3.0,0,1072.0,False,3,transporter
SLC25A45,5,3.0,0,391.0,False,3,transporter
SLC36A1,5,3.0,0,543.0,False,3,transporter
TGFB1,5,3.0,0,555.0,False,3,cytokine
TNF,5,3.0,0,502.0,True,3,cytokine
UTS2,5,3.0,0,504.0,False,3,cytokine
ARAF,5,2.6666666666666665,0,364.0,False,3,kinase
CACNA2D2,5,2.6666666666666665,0,235.0,False,0,ion_channel
DYRK2,5,2.6666666666666665,0,613.0,False,3,kinase
EFNB1,5,2.6666666666666665,0,506.0,False,3,cytokine
KCNK5,5,2.6666666666666665,0,427.0,False,2,ion_channel
SLC10A3,5,2.6666666666666665,0,577.0,True,3,transporter
