,variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
16625,SUN1,18.3758184582562,0.035022084099646175,0.3386848144810037,0.10340612452115272,0.9176406515414975,0.9994290447843712,cytotoxic_vs_rest,0.10340612452115272
16626,PIP4K2B,2.4094401615465655,-0.06993004751602372,0.6763644883789416,-0.10339106904270902,0.9176526000320117,0.9994290447843712,cytotoxic_vs_rest,-0.10339106904270903
16627,EMILIN2,3.4357226876536373,-0.062423432672265994,0.60401253612324,-0.10334790908963751,0.917686853200626,0.9994290447843712,cytotoxic_vs_rest,-0.1033479090896375
16628,CBR4,9.161064398241214,-0.05206077885057927,0.5038376569986632,-0.10332847917859658,0.9177022734716035,0.9994290447843712,cytotoxic_vs_rest,-0.1033284791785966
16629,SNUPN,12.012404249607863,0.04228714977571356,0.40988974768608194,0.10316713217257531,0.9178303254104836,0.9994290447843712,cytotoxic_vs_rest,0.10316713217257531
16630,CPSF4,9.847950820171954,-0.036737162031379555,0.3564978823659216,-0.10305015498990056,0.9179231648780569,0.9994290447843712,cytotoxic_vs_rest,-0.10305015498990054
16632,SAMM50,25.00198714833226,0.02827602842861359,0.2763735219365019,0.10231091687252927,0.9185098903691827,0.9994290447843712,cytotoxic_vs_rest,0.10231091687252927
16633,VASP,70.14193959657779,-0.02425172429926166,0.23737497306466274,-0.10216630669255644,0.9186246711422411,0.9994290447843712,cytotoxic_vs_rest,-0.10216630669255646
16634,PHTF1,38.82185237450064,-0.04796126037373884,0.4695880316760619,-0.1021347588492719,0.9186497116922109,0.9994290447843712,cytotoxic_vs_rest,-0.10213475884927191
16635,H2AFY2,5.930614884203626,0.07487903624024776,0.7334946286104963,0.10208532321783419,0.91868895052408,0.9994290447843712,cytotoxic_vs_rest,0.10208532321783419
16637,RABL3,11.721039909243746,-0.044558895768094624,0.43708628271161576,-0.10194530812465245,0.918800086594419,0.9994290447843712,cytotoxic_vs_rest,-0.10194530812465245
16638,CMTM7,164.3064912199054,0.055982797907451004,0.5500619087445344,0.1017754493039276,0.9189349130589317,0.9994290447843712,cytotoxic_vs_rest,0.10177544930392758
16639,GTF2F1,42.96341416179572,0.018645448363674485,0.18337709908589978,0.10167817277412788,0.9190121279416839,0.9994290447843712,cytotoxic_vs_rest,0.10167817277412788
16640,HADH,10.93871292399686,-0.036706358897071065,0.3613499185058746,-0.10158120153685413,0.9190891012534931,0.9994290447843712,cytotoxic_vs_rest,-0.10158120153685413
16641,ARL8A,9.958217502687063,0.05233126444647056,0.5152295841444596,0.10156882690144198,0.9190989239801942,0.9994290447843712,cytotoxic_vs_rest,0.10156882690144198
16643,EEF1E1,43.2584943461884,0.037673946506370855,0.3712804996346544,0.10147030760689717,0.9191771269753769,0.9994290447843712,cytotoxic_vs_rest,0.10147030760689717
