variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
FNIP2,298.4943520503617,1.0284572709098432,0.05066450345285201,20.299365449558138,1.3025597926322108e-91,2.516111332767887e-89,Th2_vs_Th1,20.299365449558138
DPP4,1581.1062327299412,-1.2892801627046968,0.06352390445501209,-20.29598422461218,1.3953261497023546e-91,2.6740821383941422e-89,Th2_vs_Th1,-20.29598422461218
PTPN4,1422.3771126935071,-0.6717025699703204,0.03320293879732284,-20.230214381640216,5.307172575550069e-91,1.0091505727836964e-88,Th2_vs_Th1,-20.230214381640216
ARHGEF11,556.5563050502303,0.9979071767010612,0.0494764457644141,20.169338384828063,1.8205793164865028e-90,3.434967440617441e-88,Th2_vs_Th1,20.169338384828063
TRIM16,116.347155811582,1.5254717003376026,0.07583663449293908,20.115234682251554,5.428158989023175e-90,1.0162766279525773e-87,Th2_vs_Th1,20.115234682251554
SLC35G1,111.13863712270974,1.4840499809506327,0.07385465466779988,20.094197009327676,8.294542417670367e-90,1.5410753275090005e-87,Th2_vs_Th1,20.094197009327676
CERS6,243.7206694267142,1.5051814471944485,0.07523041812649248,20.00761772536789,4.727056148277781e-89,8.716046938858554e-87,Th2_vs_Th1,20.007617725367886
ADGRG5,94.30788539930712,-3.7210779738225948,0.18623453864373524,-19.98060081079256,8.124030018851812e-89,1.4866974934498816e-86,Th2_vs_Th1,-19.98060081079256
GSE1,90.11102340213712,-1.5062544332210224,0.07559500460764007,-19.92531703700421,2.4548681996863746e-88,4.4588833665796024e-86,Th2_vs_Th1,-19.92531703700421
JAK2,417.73176622125817,-0.9012471332617445,0.04526599673590733,-19.910025145802845,3.3314773857019403e-88,6.006283562266632e-86,Th2_vs_Th1,-19.910025145802848
TULP4,710.7995385742926,-0.6312531392102856,0.03174135927960741,-19.887400966342398,5.231715394575673e-88,9.362847131513037e-86,Th2_vs_Th1,-19.887400966342394
CEBPD,44.0166809260188,-5.4591321329390405,0.2747236816275465,-19.871356195423285,7.203034267902726e-88,1.2796689857407624e-85,Th2_vs_Th1,-19.871356195423285
DTHD1,25.533833588467314,-7.7098551058618305,0.3892728707434256,-19.80578582611653,2.6538948364962137e-87,4.68066278445517e-85,Th2_vs_Th1,-19.80578582611653
C3AR1,83.76254223535423,-2.234138235853936,0.11310108962186323,-19.75346341333622,7.490068262052788e-87,1.3115163412237614e-84,Th2_vs_Th1,-19.75346341333622
LINC01336,24.42467427757412,1.9431088914561807,0.09849824770028406,19.72734476829253,1.2559620173803485e-86,2.1834899672157358e-84,Th2_vs_Th1,19.727344768292532
MYBL1,387.2292774350433,-2.0192246420142665,0.1028904369052768,-19.62499822868095,9.458037611085334e-86,1.6326182795475601e-83,Th2_vs_Th1,-19.62499822868095
