variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast,zscore
SIRPG,14.479050539749474,-0.6467429245511176,0.05222718572422808,-12.383262003931698,3.2198477052894176e-35,1.172460333587718e-33,CytotoxicCD4,-12.383262003931698
SEPTIN7,131.13148201546113,0.20388112005074766,0.016484994153442175,12.367679245319959,3.909546050206921e-35,1.4182720240563385e-33,CytotoxicCD4,12.367679245319959
SERF2,645.5399840633359,0.1251501514280168,0.010135189068923928,12.348082564315124,4.98862521257332e-35,1.802978500335268e-33,CytotoxicCD4,12.348082564315124
GSE1,3.811772439608626,1.0590213463139486,0.08583955717696004,12.33721819103463,5.709460640122429e-35,2.0558303256589536e-33,CytotoxicCD4,12.33721819103463
MAML2,27.256074102650782,-0.5337266207535287,0.043288733030772235,-12.329458114981646,6.286807462399234e-35,2.2553339659555177e-33,CytotoxicCD4,-12.329458114981644
MAPKAPK2,8.218026902940771,0.7358940965768596,0.05985265835617247,12.295094600438384,9.624402553480695e-35,3.439924838856606e-33,CytotoxicCD4,12.295094600438386
ADGRE5,38.04039349029802,0.3758086809565167,0.030567189860526537,12.294511947983274,9.6940489420782e-35,3.4520793401827e-33,CytotoxicCD4,12.294511947983274
IL6ST,32.05073059305224,-0.684531381423028,0.05573130290805231,-12.282709100707635,1.121779022448576e-34,3.980055535324874e-33,CytotoxicCD4,-12.282709100707637
ABCA2,3.6543226462497684,1.1449091110075018,0.09339780123744326,12.258416106572183,1.5143084370288147e-34,5.3531355916281384e-33,CytotoxicCD4,12.258416106572183
GFI1,2.8682279441732623,1.4077827786442751,0.11506941698371502,12.2342044962608,2.0409456961231093e-34,7.188581822781249e-33,CytotoxicCD4,12.2342044962608
GNGT2,1.6474209395692792,1.5591792230225365,0.12754494455260584,12.224547421238274,2.298582702937581e-34,8.066692775599061e-33,CytotoxicCD4,12.224547421238276
ICOS,13.641611826221391,-0.7433450165539344,0.06136090640248677,-12.114309584641482,8.870795123565664e-34,3.1018960854461017e-32,CytotoxicCD4,-12.114309584641482
ESD,47.967765447658174,-0.3517066928193477,0.029105678423352068,-12.083782679917412,1.286615985608516e-33,4.482792243382765e-32,CytotoxicCD4,-12.083782679917414
PYHIN1,27.07355601754514,0.5819499685513968,0.04817480030800677,12.079966389703442,1.3477481013369164e-33,4.678956311666441e-32,CytotoxicCD4,12.079966389703442
AQP3,43.173795870694896,-0.5668133451365954,0.046930078326799025,-12.077826531410699,1.3832794055839075e-33,4.7851586866020455e-32,CytotoxicCD4,-12.077826531410697
DGKA,36.124299774025246,-0.4632499739442803,0.038369601763015584,-12.07335892630521,1.460488694292381e-33,5.034268146945196e-32,CytotoxicCD4,-12.07335892630521
BSG,54.53315186627043,0.2895535259418985,0.023999920499065186,12.064770212600362,1.621142294785396e-33,5.56822137137991e-32,CytotoxicCD4,12.064770212600363
FMNL1,54.80783742287672,0.31878450790171126,0.02644684115425563,12.053783892085532,1.852464679338002e-33,6.340273103910915e-32,CytotoxicCD4,12.053783892085532
