variable,baseMean,log_fc,lfcSE,stat,p_value,adj_p_value,contrast
KSR1,1877.2550939098387,-0.8918666006371002,0.17207252835414197,-5.18308534876382,2.1824510578916796e-07,8.492744892519865e-06,Th2
LAPTM4B,4725.447793331565,-0.7650651671879608,0.14783670446240083,-5.175069141118057,2.2782659699151687e-07,8.82754728600607e-06,Th2
LMCD1,730.4024007491624,1.9896798503936097,0.3849460379433389,5.168724065907844,2.3569758907842508e-07,9.09349501794881e-06,Th2
PCGF2,319.311521371259,-2.1186496296547657,0.41025205010913085,-5.164263357346259,2.4138764168795925e-07,9.2733941666336e-06,Th2
IGF2BP3,437.4325370544489,1.580947223441743,0.3066904340191027,5.154863171712983,2.538161940079373e-07,9.709544913151093e-06,Th2
IRS1,412.36088375948145,-0.9188990284087465,0.17843122345600718,-5.149877978812963,2.6065598028759154e-07,9.929123164710448e-06,Th2
FOXP4,496.4253207379815,-0.9395880696030858,0.18250031744308082,-5.148418823414538,2.6269142558534965e-07,9.964614244472842e-06,Th2
CMTM7,1651.086303220054,0.8752434296888102,0.17006924916030833,5.146394389404286,2.6554084806094083e-07,1.0030555549348007e-05,Th2
KSR2,26.63762432630893,5.218582832861747,1.015009397460096,5.141413316882034,2.726794527380682e-07,1.0257292080497e-05,Th2
RNF138,4992.783729542765,0.461799769932226,0.08995194234947199,5.133849896626904,2.83874528020024e-07,1.0634104725994924e-05,Th2
ATP6V0A2,3425.321265203034,0.6914464553087364,0.13492805815268608,5.124556484213891,2.9823893490360506e-07,1.1126037621114655e-05,Th2
LMO4,3705.2015775388504,-0.5921300413021844,0.11599522727931548,-5.1047793533465,3.3118070644786253e-07,1.230411283049919e-05,Th2
DUSP16,4356.615386044997,-0.6054422017391665,0.1186667070426256,-5.102039289939081,3.3601296877881156e-07,1.2432479844816027e-05,Th2
YWHAQ,4570.33070262868,0.5173559915862029,0.10148884142568441,5.097663785678733,3.4387085839378785e-07,1.2671290243180069e-05,Th2
ARHGEF6,6751.520282369774,0.44749574161342004,0.08799269730620057,5.085600911359793,3.664639195521137e-07,1.3448927909416593e-05,Th2
TNFRSF10A,619.1266118849675,-1.0229942336929345,0.2012751830712746,-5.0825651631909174,3.723715008362088e-07,1.3610404492102402e-05,Th2
EPB41L2,1457.478986577258,1.7283550991435153,0.3406659359162115,5.0734602932786705,3.906460184500567e-07,1.4220775220028678e-05,Th2
SPOCK1,75.22695414745132,2.1712689493080717,0.43003471421475054,5.049055058898767,4.4400076930121184e-07,1.609814837450338e-05,Th2
MYH8,33.58664712784806,4.231393887697616,0.8389838180306994,5.0434749714597995,4.5715258848573004e-07,1.6508694275396683e-05,Th2
PIGM,921.4309439875797,0.4807812303269354,0.09560390849939979,5.02888676700863,4.933355974596162e-07,1.7744357664802453e-05,Th2
DEDD2,1482.6923788289798,-0.5082251922026463,0.10135880530461229,-5.01411979625533,5.327678704254888e-07,1.9086620373814734e-05,Th2
SIGLEC10,15.509487718323754,2.987944619873142,0.5964357545077018,5.009667172517838,5.452424695446787e-07,1.943408355744231e-05,Th2
GM2A,480.31429350701,0.7688839445821949,0.15351191098643965,5.008627276160438,5.481961836142975e-07,1.943408355744231e-05,Th2
SH2D4A,224.15244350110325,-1.5362389980731082,0.3067342248881973,-5.008371656710488,5.489246020323205e-07,1.943408355744231e-05,Th2
RAB19,45.516690194055116,2.118934671435879,0.423511110821609,5.003256389956708,5.636988840209911e-07,1.9879193456802766e-05,Th2
ARID5A,4354.256217888979,1.993536700611872,0.3985190405184393,5.002362491936272,5.663197512663512e-07,1.989390939467945e-05,Th2
IKZF3,2575.7501220501845,1.4377623901175836,0.2874602893300734,5.001603503107476,5.685542895184266e-07,1.9894992735551763e-05,Th2
CD84,1054.9454512413852,1.0609726372530666,0.21227894949741513,4.998011530417838,5.792452230788247e-07,2.0190833490176174e-05,Th2
COL1A2,236.96618678021417,-1.849459803426287,0.3701585588834965,-4.996398864866947,5.841078574412842e-07,2.0282022065307362e-05,Th2
