landmark_gene,SENP5,PLCG1,CCNC,PMVK
DUSP11,0.1282947,0.07253631,0.44362795,0.47340003
TP53BP2,-0.27032256,0.26625,0.29514733,-0.0582
CDKN1A,-0.23623674,-0.086474985,0.13293011,-0.33830005
TJP1,-0.27860355,-0.07630501,0.443075,0.14375001
ABCB6,-0.17187157,-0.17950425,-0.52367723,0.7611
MTHFD2,-0.17001492,0.32225,0.37485135,-0.16765
PRAF2,-0.097956225,-0.058045894,-0.2941012,0.74255
DNTTIP2,-0.036122493,-0.085100524,-0.53037,0.44225
HTATSF1,-0.0007940121,-0.13674712,0.044391252,0.123050004
NCAPD2,-0.18465456,0.23050596,0.34514782,0.22705
TMEM109,0.0013630651,-0.29716182,-0.3469963,-0.38239998
NUP93,0.12728648,-0.24720311,0.45301265,-0.34280002
PLA2G15,-0.20147467,-0.18933655,0.1607981,0.2018
PIP4K2B,-0.35607916,0.119975,-1.1533997,-0.66315
MYCBP2,0.18966112,-0.13184999,0.43170804,0.31515
PGRMC1,-0.07235057,0.16484241,-0.49091265,-0.365
AARS,0.2954425,0.24375,0.7829116,0.38189998
GPC1,-0.12171617,-0.058821328,0.676256,0.54005
ELAC2,0.1876515,-0.17776199,-0.69436127,0.26610002
